work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,company_location,company_size,work_setting
2020,1,0,71,70000,7,79833,31,25,2,1
2020,2,0,106,260000,16,260000,44,39,0,1
2020,2,0,21,85000,8,109024,86,75,1,0
2020,1,0,119,20000,16,20000,34,29,0,1
2020,2,0,99,150000,16,150000,87,76,2,0
2020,0,0,36,72000,16,72000,87,76,2,2
2020,2,0,94,190000,16,190000,87,76,0,2
2020,1,0,71,11000000,9,35735,36,30,2,0
2020,1,0,22,135000,16,135000,87,76,2,2
2020,2,0,93,125000,16,125000,58,51,0,0
2020,0,0,71,45000,7,51321,29,24,0,1
2020,1,0,71,3000000,10,40481,37,31,2,1
2020,0,0,71,35000,7,39916,29,24,1,1
2020,1,0,92,87000,16,87000,87,76,2,2
2020,1,0,36,85000,16,85000,87,76,2,2
2020,1,0,36,8000,16,8000,60,53,2,0
2020,0,0,45,4450000,11,41689,44,39,0,2
2020,2,0,21,100000,7,114047,63,75,0,2
2020,0,0,64,423000,10,5707,37,31,1,0
2020,1,0,93,56000,16,56000,64,76,1,2
2020,1,0,99,299000,5,43331,16,14,1,1
2020,1,0,119,450000,10,6072,37,31,2,2
2020,2,0,45,42000,7,47899,33,28,2,0
2020,1,0,17,98000,16,98000,87,76,1,1
2020,1,0,94,115000,16,115000,85,74,2,1
2020,3,0,83,325000,16,325000,87,76,2,2
2020,0,0,122,42000,16,42000,57,50,2,0
2020,2,0,45,720000,12,33511,54,47,0,1
2020,0,1,22,100000,16,100000,87,76,2,2
2020,2,0,101,157000,2,117104,13,11,2,0
2020,1,0,46,51999,7,59303,31,25,0,2
2020,0,0,21,70000,16,70000,87,76,2,2
2020,2,0,71,60000,7,68428,33,76,2,2
2020,1,0,122,450000,16,450000,87,76,1,1
2020,1,0,36,41000,7,46759,29,24,2,0
2020,1,0,45,65000,7,74130,6,6,2,0
2020,1,0,64,103000,16,103000,87,76,2,2
2020,0,0,99,250000,16,250000,87,76,2,0
2020,0,0,36,10000,16,10000,59,52,0,2
2020,0,0,99,138000,16,138000,87,76,0,2
2020,1,0,71,45760,16,45760,62,76,0,2
2020,3,0,46,70000,7,79833,76,67,2,0
2020,1,0,100,44000,7,50180,64,56,1,1
2020,1,0,45,106000,16,106000,87,76,2,2
2020,1,0,45,88000,8,112872,86,75,2,0
2020,0,3,96,14000,7,15966,31,25,0,2
2020,1,0,71,60000,8,76958,86,75,0,2
2020,2,0,45,188000,16,188000,87,76,2,2
2020,1,0,71,105000,16,105000,87,76,2,2
2020,1,0,45,61500,7,70139,29,24,2,0
2020,0,0,36,450000,10,6072,37,31,0,1
2020,0,0,36,91000,16,91000,87,76,2,2
2020,0,0,6,300000,6,45896,23,19,0,0
2020,0,0,45,48000,7,54742,60,25,2,2
2020,2,2,33,60000,16,60000,69,76,0,2
2020,2,0,117,130000,7,148261,31,25,1,2
2020,1,0,71,34000,7,38776,76,67,1,2
2020,1,0,71,118000,16,118000,87,76,1,2
2020,2,0,71,120000,16,120000,87,76,2,0
2020,1,0,71,138350,16,138350,87,76,1,2
2020,1,0,45,110000,16,110000,87,76,2,2
2020,1,0,45,130800,16,130800,76,76,1,2
2020,0,3,71,19000,7,21669,43,38,0,0
2020,2,0,71,412000,16,412000,87,76,2,2
2020,2,0,99,40000,7,45618,19,16,0,2
2020,0,0,71,55000,7,62726,31,25,0,0
2020,0,0,71,43200,7,49268,31,25,0,1
2020,2,0,68,190200,16,190200,87,76,1,2
2020,0,0,71,105000,16,105000,87,76,0,2
2020,2,0,71,80000,7,91237,6,6,0,1
2020,1,0,71,55000,7,62726,29,43,0,0
2020,1,0,71,37000,7,42197,29,24,0,0
2021,0,0,122,60000,8,82528,86,75,2,0
2021,3,0,17,150000,16,150000,37,76,2,2
2021,3,0,88,235000,16,235000,87,76,2,2
2021,2,0,71,45000,7,53192,29,24,2,0
2021,1,0,17,100000,16,100000,87,76,1,2
2021,1,3,0,400000,10,5409,37,31,1,0
2021,1,1,96,270000,16,270000,87,76,2,2
2021,0,0,36,80000,16,80000,87,76,1,2
2021,2,0,38,67000,7,79197,31,25,2,2
2021,1,0,45,140000,16,140000,87,76,2,2
2021,1,0,10,68000,2,54238,86,11,2,0
2021,1,0,99,40000,7,47282,76,67,0,2
2021,3,0,83,130000,7,153667,43,55,2,2
2021,1,0,45,110000,13,28476,63,55,2,2
2021,0,0,36,50000,7,59102,29,24,1,0
2021,1,0,38,110000,16,110000,87,76,2,2
2021,2,0,92,170000,16,170000,87,76,2,2
2021,2,0,36,80000,16,80000,12,76,0,2
2021,2,0,111,75000,7,88654,33,19,2,2
2021,0,0,64,65000,7,76833,31,25,0,2
2021,1,0,92,1450000,10,19609,37,31,2,2
2021,2,0,93,276000,16,276000,87,76,2,1
2021,0,0,71,2200000,10,29751,37,31,2,0
2021,1,0,30,120000,14,89294,72,63,2,0
2021,0,3,6,12000,16,12000,11,76,0,2
2021,1,0,87,450000,16,450000,87,76,2,2
2021,0,0,34,70000,16,70000,87,76,1,2
2021,1,0,34,81000,7,95746,31,76,0,2
2021,1,0,36,75000,16,75000,87,76,2,1
2021,2,0,45,150000,16,150000,87,76,2,2
2021,1,0,17,11000000,9,36259,36,76,2,0
2021,1,0,36,62000,16,62000,87,76,2,1
2021,1,0,71,73000,16,73000,87,76,2,1
2021,1,0,36,37456,8,51519,86,75,2,0
2021,1,0,122,235000,2,187442,13,11,2,2
2021,2,0,45,115000,16,115000,87,76,0,2
2021,2,0,45,150000,16,150000,87,76,1,2
2021,0,0,45,2250000,10,30428,37,31,2,2
2021,2,0,99,80000,7,94564,31,25,2,0
2021,2,0,82,82500,8,113476,86,75,1,2
2021,2,0,93,75000,8,103160,86,75,0,2
2021,0,3,6,12000,16,12000,60,76,1,2
2021,1,0,45,38400,7,45391,57,50,2,2
2021,0,0,106,225000,16,225000,87,76,2,2
2021,1,0,71,50000,16,50000,59,52,2,2
2021,1,0,66,34000,7,40189,33,28,1,2
2021,0,0,36,90000,16,90000,87,76,0,2
2021,1,0,45,200000,16,200000,87,76,2,2
2021,1,0,21,60000,16,60000,76,59,1,0
2021,2,0,116,200000,16,200000,87,76,1,2
2021,0,0,36,50000,16,50000,87,76,1,2
2021,0,0,10,80000,8,110037,86,75,2,1
2021,0,3,36,8760,7,10354,76,67,1,0
2021,1,0,117,151000,16,151000,87,76,2,2
2021,2,0,106,120000,16,120000,87,76,0,0
2021,1,0,71,700000,10,9466,37,31,0,1
2021,0,0,99,20000,16,20000,37,31,0,2
2021,2,0,94,3000000,10,40570,37,31,2,0
2021,0,0,98,100000,16,100000,41,35,0,0
2021,0,0,71,42000,7,49646,29,24,1,0
2021,1,0,12,38400,16,38400,89,76,1,2
2021,2,0,33,24000,16,24000,11,10,1,2
2021,0,0,71,100000,16,100000,87,76,0,1
2021,1,0,36,90000,16,90000,87,76,1,2
2021,1,0,96,7000000,11,63711,44,39,0,0
2021,1,0,96,8500000,11,77364,44,39,0,0
2021,2,0,117,220000,16,220000,87,76,2,1
2021,0,0,71,80000,16,80000,87,76,1,2
2021,1,0,36,135000,16,135000,87,76,2,2
2021,2,0,68,240000,16,240000,87,76,2,1
2021,2,0,46,150000,16,150000,87,76,2,1
2021,1,0,71,82500,16,82500,87,76,0,2
2021,1,0,45,100000,16,100000,87,76,2,2
2021,2,0,99,70000,7,82744,7,8,1,0
2021,1,0,122,53000,7,62649,29,24,1,0
2021,1,0,45,90000,16,90000,87,76,2,2
2021,2,0,46,153000,16,153000,87,76,2,2
2021,2,0,30,160000,16,160000,11,76,0,2
2021,2,0,83,168000,16,168000,44,39,0,1
2021,1,0,71,150000,16,150000,87,76,1,2
2021,1,0,71,95000,2,75774,13,11,2,2
2021,0,0,71,13400,16,13400,84,73,2,2
2021,2,0,68,144000,16,144000,87,76,2,2
2021,2,0,66,159500,2,127221,13,11,2,0
2021,1,0,71,160000,14,119059,72,37,1,2
2021,1,0,12,423000,16,423000,87,76,2,0
2021,2,0,40,120000,16,120000,87,76,1,2
2021,0,0,99,125000,16,125000,87,76,0,2
2021,3,0,88,230000,16,230000,69,61,2,0
2021,3,0,89,85000,16,85000,69,61,1,1
2021,1,0,45,24000,7,28369,52,45,2,0
2021,0,0,64,54000,7,63831,31,25,2,0
2021,3,0,83,110000,7,130026,31,25,1,0
2021,2,0,73,165000,16,165000,87,76,2,2
2021,0,0,45,80000,16,80000,87,76,2,2
2021,3,0,83,250000,16,250000,87,76,2,1
2021,0,0,17,55000,16,55000,87,76,0,0
2021,1,0,42,150000,16,150000,87,76,2,2
2021,1,0,42,170000,16,170000,87,76,2,2
2021,1,0,45,60000,8,82528,86,75,2,2
2021,0,0,36,60000,16,60000,87,76,0,2
2021,2,0,117,235000,16,235000,87,76,2,2
2021,2,0,122,51400,7,60757,64,56,2,0
2021,2,0,46,174000,16,174000,87,76,2,2
2021,1,0,71,58000,12,2859,54,47,0,1
2021,1,0,71,30400000,4,40038,15,13,2,2
2021,0,0,99,81000,16,81000,87,76,0,0
2021,1,0,71,420000,10,5679,37,76,0,2
2021,1,0,21,1672000,10,22611,37,31,2,1
2021,1,0,71,76760,7,90734,31,25,2,0
2021,1,0,45,22000,7,26005,67,76,2,1
2021,2,0,86,45000,8,61896,86,75,2,0
2021,1,2,106,12000,16,12000,60,53,1,0
2021,1,0,45,4000,16,4000,40,34,1,2
